"Power System","Region","Timestamp","UTC Offset","Metered Load Power (kW)","Load Power (kW)","Solar Power (kW)","Battery Power (kW)","Min Cell Voltage (mV)","Max Cell Voltage (mV)","Mean Cell Voltage (mV)","Battery SOC (%)","Battery Voltage (V)","Ambient Temperature (C)","Battery Temperature (C)","Battery Current (A)","Connectivity[solsense]"
"Nimlajacoc","Guatemala","2021-10-17 12:03:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:04:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:05:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:06:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:07:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:08:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:09:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:10:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:11:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:12:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:13:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:14:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:15:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:16:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:17:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:18:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:19:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:20:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:21:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:22:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:23:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:24:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:25:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:26:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:27:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:28:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:29:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:30:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:31:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:32:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:33:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:34:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:35:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:36:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:37:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:38:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:39:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:40:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:41:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:42:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 12:43:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 12:44:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 12:45:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 12:46:00","-06:00",0,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 12:47:00","-06:00",0,,0.08650000000000001,,,,,98,53.2,54.0625,34.6,,1
"Nimlajacoc","Guatemala","2021-10-17 12:48:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 12:49:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 12:50:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 12:51:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 12:52:00","-06:00",0,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 12:53:00","-06:00",,,0.0883,,,,,98,53.2,53.875,34.6,,1
"Nimlajacoc","Guatemala","2021-10-17 12:54:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 12:55:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 12:56:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 12:57:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 12:58:00","-06:00",0,,0.0887,,,,,98,53.2,,34.6,,1
"Nimlajacoc","Guatemala","2021-10-17 12:59:00","-06:00",,,,,,,,,,54.0625,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:00:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 13:01:00","-06:00",,,,,,,,,,,,-0.9,1
"Nimlajacoc","Guatemala","2021-10-17 13:02:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 13:03:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 13:04:00","-06:00",0,,0.08940000000000001,-0.053200000000000004,,,,98,53.2,,34.6,-1,1
"Nimlajacoc","Guatemala","2021-10-17 13:05:00","-06:00",,,,,,,,,,54.125,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:06:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:07:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 13:08:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:09:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 13:10:00","-06:00",0,,0.08940000000000001,,,,,98,53.2,54.1875,34.6,,1
"Nimlajacoc","Guatemala","2021-10-17 13:11:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:12:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 13:13:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:14:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:15:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:16:00","-06:00",0,,0.0886,-0.053200000000000004,,,,98,53.2,53.8125,34.6,-1,1
"Nimlajacoc","Guatemala","2021-10-17 13:17:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 13:18:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 13:19:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:20:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:21:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:22:00","-06:00",0,,0.0876,,,,,98,53.2,53.6875,34.6,,1
"Nimlajacoc","Guatemala","2021-10-17 13:23:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 13:24:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:25:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 13:26:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:27:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 13:28:00","-06:00",,,,,,,,,,,,,0
"Nimlajacoc","Guatemala","2021-10-17 13:29:00","-06:00",0,,0.089,-0.05852000000000001,,,,98,53.2,53.8125,35.1,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 13:30:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:31:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 13:32:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:33:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:34:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:35:00","-06:00",0,,0.0889,,,,,98,53.2,53.8125,35.1,,1
"Nimlajacoc","Guatemala","2021-10-17 13:36:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 13:37:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 13:38:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:39:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 13:40:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:41:00","-06:00",0,,0.0884,-0.053200000000000004,,,,98,53.2,53.9375,35.1,-1,1
"Nimlajacoc","Guatemala","2021-10-17 13:42:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:43:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:44:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 13:45:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:46:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:47:00","-06:00",0,,0.0888,,,,,98,53.2,54.25,35.1,,1
"Nimlajacoc","Guatemala","2021-10-17 13:48:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:49:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 13:50:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 13:51:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:52:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 13:53:00","-06:00",0,,0.0876,-0.05852000000000001,,,,97,53.2,54,35.1,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 13:54:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:55:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 13:56:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 13:57:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:58:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 13:59:00","-06:00",0,,0.089,,,,,97,53.2,53.875,35.1,,1
"Nimlajacoc","Guatemala","2021-10-17 14:00:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:01:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:02:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 14:03:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:04:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:05:00","-06:00",0,,0.089,-0.053200000000000004,,,,97,53.2,54,35.1,-1,1
"Nimlajacoc","Guatemala","2021-10-17 14:06:00","-06:00",,,,,,,,,,,,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 14:07:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:08:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:09:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:10:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 14:11:00","-06:00",0,,0.0895,-0.05852000000000001,,,,97,53.2,54,35.1,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 14:12:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:13:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:14:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:15:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 14:16:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:17:00","-06:00",0,,0.0901,-0.05852000000000001,,,,97,53.2,,35.1,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 14:18:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:19:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:20:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:21:00","-06:00",,,,,,,,,,54.125,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:22:00","-06:00",,,,,,,,,,,,,1
"Nimlajacoc","Guatemala","2021-10-17 14:23:00","-06:00",0,,0.0902,-0.05852000000000001,,,,97,53.2,,35.1,-1.1,1
"Nimlajacoc","Guatemala","2021-10-17 14:24:00","-06:00",,,,,,,,,,,,-1,1
"Nimlajacoc","Guatemala","2021-10-17 14:25:00","-06:00",,,,,,,,,,,,,1
